   45.000   15.001  4.6036E-01  1.6677E-01
   60.000   15.000  4.5984E-01  2.3158E-01
   75.000   15.000  4.5782E-01  1.8601E-01
   90.000   15.000  4.5271E-01  2.3246E-01
  105.000   15.000  4.5642E-01  2.0709E-01
  120.000   15.000  4.5852E-01  1.4522E-01
  135.000   15.000  4.5721E-01  1.8278E-01
  150.000   15.000  4.6269E-01  2.1046E-01
  165.000   15.000  4.6195E-01  1.3741E-01
  180.000   15.000  4.5953E-01  1.9425E-01
  195.000   15.000  4.5469E-01  1.6369E-01
  210.000   15.000  4.6554E-01  2.7798E-02
  225.000   15.000  4.5688E-01  1.0934E-01
  240.000   15.000  4.6122E-01  2.3595E-01
  255.000   15.000  4.5617E-01  1.5359E-01
  270.000   15.000  4.6114E-01  1.8251E-01
  285.000   15.000  4.6050E-01  2.7092E-01
  300.000   15.000  4.6369E-01  1.4018E-01
  315.000   15.000  4.5870E-01  1.6117E-01
  330.000   15.000  4.6265E-01  1.8754E-01
  345.000   15.000  4.6150E-01  1.8530E-01
  360.000   15.000  4.5905E-01  1.7590E-01
  375.000   15.000  4.6210E-01  1.8421E-01
  390.000   15.000  4.6357E-01  1.6042E-01
  405.000   15.000  4.6348E-01  1.0730E-01
  420.000   15.000  4.5609E-01  1.9430E-01
  435.000   15.000  4.5681E-01  1.8553E-01
  450.000   15.000  4.6275E-01  1.0958E-01
  465.000   15.000  4.5855E-01  2.0387E-01
  480.000   15.000  4.5664E-01  1.8268E-01
  495.000   15.000  4.5774E-01  1.4248E-01
